road_id,name,source,source_id,destination,destination_id,distance_km,rainfall_mm,temp_c,humidity_pct,road_condition,terrain,elevation_m,historical_incidents,flood_history,landslide_history,traffic_density,infrastructure_rating,lat1,lon1,lat2,lon2,road_status,risk_level,speed_limit_kmh
RD_01,NH-27 Guwahati-Tezpur Expressway,Guwahati,LOC_GHY,Tezpur,LOC_TEZ,175,65,27.5,72,Good,Plain,52,2,0,0,Medium,8.5,26.1445,91.7362,26.6528,92.7926,ACCESSIBLE,LOW,75
RD_02,NH-40 Guwahati-Shillong Scenic Highway,Guwahati,LOC_GHY,Shillong,LOC_SHL,98,110,19.2,85,Good,Hilly,1200,5,0,1,High,8.0,26.1445,91.7362,25.5788,91.8933,ACCESSIBLE,LOW,50
RD_03,NH-15 Tezpur-Itanagar Trans-Highway,Tezpur,LOC_TEZ,Itanagar,LOC_ITA,155,145,23.1,88,Fair,Hilly,280,8,1,1,Low,6.5,26.6528,92.7926,27.0844,93.6053,RESTRICTED,MODERATE,45
RD_04,NH-715 Tezpur-Jorhat Brahmaputra Route,Tezpur,LOC_TEZ,Jorhat,LOC_JOR,160,85,26.0,80,Fair,Plain,85,4,1,0,Medium,7.0,26.6528,92.7926,26.7509,94.2037,ACCESSIBLE,LOW,65
RD_05,NH-29 Dimapur-Kohima Hill Pass,Dimapur,LOC_DMP,Kohima,LOC_KOH,74,185,18.0,92,Poor,Mountainous,1350,14,0,1,High,5.2,25.9060,93.7270,25.6751,94.1086,HIGH_RISK,HIGH,35
RD_06,NH-02 Kohima-Imphal Frontier Link,Kohima,LOC_KOH,Imphal,LOC_IMP,138,195,19.5,91,Poor,Mountainous,1120,16,0,1,Medium,5.0,25.6751,94.1086,24.8170,93.9368,HIGH_RISK,HIGH,35
RD_07,NH-06 Shillong-Silchar Mountain Road,Shillong,LOC_SHL,Silchar,LOC_SIL,215,240,21.0,95,Severe,Mountainous,980,22,1,1,High,3.8,25.5788,91.8933,24.8333,92.7789,BLOCKED,CRITICAL,30
RD_08,NH-306 Silchar-Aizawl Link Highway,Silchar,LOC_SIL,Aizawl,LOC_AIZ,178,160,22.4,87,Fair,Mountainous,950,11,0,1,Medium,6.0,24.8333,92.7789,23.7271,92.7176,RESTRICTED,MODERATE,40
RD_09,NH-08 Silchar-Agartala Lifeline,Silchar,LOC_SIL,Agartala,LOC_AGA,285,120,25.0,83,Good,Hilly,120,6,0,0,Medium,7.5,24.8333,92.7789,23.8315,91.2868,ACCESSIBLE,LOW,60
RD_10,NH-10 Siliguri-Gangtok Teesta Corridor,Siliguri (Gateway Hub),LOC_SLG,Gangtok,LOC_GKT,114,210,17.5,94,Poor,Mountainous,1420,19,1,1,High,4.5,26.7271,88.3953,27.3389,88.6065,BLOCKED,CRITICAL,30
RD_11,NH-27 Siliguri-Guwahati East-West Corridor,Siliguri (Gateway Hub),LOC_SLG,Guwahati,LOC_GHY,470,55,28.0,70,Good,Plain,80,3,0,0,High,9.0,26.7271,88.3953,26.1445,91.7362,ACCESSIBLE,LOW,80
RD_12,NH-29 Jorhat-Dimapur Inter-State Link,Jorhat,LOC_JOR,Dimapur,LOC_DMP,122,78,25.8,79,Good,Plain,130,3,0,0,Medium,7.8,26.7509,94.2037,25.9060,93.7270,ACCESSIBLE,LOW,65
RD_13,NH-37 Jorhat-Dibrugarh Tea Belt Road,Jorhat,LOC_JOR,Dibrugarh,LOC_DIB,135,90,26.2,82,Good,Plain,112,4,1,0,Medium,8.0,26.7509,94.2037,27.4728,94.9120,ACCESSIBLE,LOW,70
